Bedrooms,Bathrooms,Price,Areasqft
5,4,438500,3292
5,3,394900,17859.6
3,2,295000,6534
4,2,135000,1653
4,2,135000,1653
4,2,350000,13068
3,2,539900,7841
3,2,319900,18295.2
3,2,450000,928
3,2,342500,1887
5,4,590805,3473
4,2,309900,26136
2,1,1,6600
3,1,100000,1292
4,2,374900,16117.2
3,2,279900,20037.6
3,3,399900,1600
5,2,176500,23086.8
2,1,135000,11761.2
5,4,569850,11325.6
3,2,409900,17859.6
2,1,135000,10018.8
2,1,135000,17859.6
3,2,149000,1918
5,1,20000,3920
3,2,119000,5663
4,2,269900,16552.8
6,5,649850,11325.6
2,2,159900,34848
3,2,210000,27442.8
3,2,365000,23086.8
3,3,1379000,1770
3,1,18900,3311
3,2,127500,326700
3,3,890000,392040
4,3,395000,6970
3,2,374950,60984
4,3,449500,25264.8
4,2,390000,6534
3,2,249000,261360
3,2,87000,130680
1,1,475000,682
3,2,274900,5663
3,3,294315,27007.2
3,2,215000,14810.4
4,2,235000,1779
4,2,775000,869457.6
3,2,160000,1440
3,2,460000,26571.6
5,2,119900,39204
2,1,74900,217800
4,2,289900,1774
4,2,179900,16552.8
2,1,64600,248292
4,2,278900,13503.6
3,2,175000,12196.8
3,2,450000,3354120
3,2,310700,304484.4
4,2,75000,410770.8
5,3,379000,435600
6,2,99900,2450
4,2,272000,382892.4
3,1,109900,9148
5,4,415000,14374.8
4,3,480700,2590
4,2,330250,1815
4,2,330400,1815
4,2,329605,1815
4,2,353000,2306
3,2,347750,2033
3,2,347400,2033
3,2,345250,2033
4,3,445755,2969
4,3,379099,2751
4,4,476646,3160
4,4,465828,3489
4,3,384609,2597
4,3,404728,2751
3,2,294999,1746
3,2,380000,376794
4,2,362900,2516
4,2,339900,2306
4,3,420722,2785
4,2,292445,1774
4,2,287400,1497
4,2,284400,1497
4,3,408367,2785
4,3,419900,2702
4,3,384900,2496
4,2,303400,1774
5,2,315395,2618
3,2,288395,2164
3,2,287395,2175
4,2,285395,1774
4,2,329900,1774
4,2,329900,1774
5,3,320395,2511
4,2,274895,1774
4,2,332900,1774
4,2,334900,1774
4,2,375900,2315
3,2,448700,2175
4,3,404900,2531
4,3,458900,2590
4,2,480700,2632
5,2,344900,2618
5,3,357900,2511
4,3,406900,2543
5,3,356900,2511
5,3,356900,2511
4,2,326152,1835
4,3,394220,2486
4,3,398328,2304
4,3,398328,2304
3,2,314900,1764
3,2,314900,1764
3,2,316900,1764
3,2,316900,1749
3,2,314900,1749
3,2,316900,1764
4,2,331900,2174
4,2,331900,2174
4,2,329900,2174
4,2,331900,2174
4,2,331900,2174
4,2,331900,2174
4,2,329900,2174
5,3,377000,2511
5,3,388470,2409
5,3,389570,2409
3,2,79900,4555
4,2,289900,33976.8
2,1,130000,37461.6
2,1,19900,178596
3,2,210000,10018.8
3,2,200000,1954
3,2,169900,15246
3,1,98000,1301
4,3,309900,69260.4
4,3,475000,28749.6
3,2,208000,5685
4,3,399900,60112.8
3,2,174900,14810.4
3,2,239000,17859.6
3,2,215000,13068
2,2,220000,4356
4,2,485900,927828
3,2,259900,30056.4
3,2,249700,7841
3,2,325000,6970
3,2,275000,1652
5,3,469900,10890
4,2,314900,25700.4
3,1,588060,43560
2,1,359000,1247
4,2,314900,20473.2
4,2,279000,6534
4,2,299800,8712
3,2,334260,1846
3,2,336182,10454.4
5,3,352900,2511
4,2,286349,2047
4,3,482568,2785
4,3,482568,2785
4,3,425722,2785
4,2,286349,2047
4,2,373050,2314
4,2,80000,196020
3,1,180000,43560
4,3,229900,20037.6
3,2,329500,1320
3,2,199000,15246
3,2,235000,6970
5,4,345000,63162
3,1,94900,178596
3,1,199000,7841
3,2,149000,313632
4,3,299900,17859.6
4,2,267500,20908.8
5,3,245000,43560
3,2,277563,42253.2
5,4,569900,871200
3,2,179900,60548.4
5,4,539900,37897.2
3,2,219000,1500
5,5,525000,209088
3,2,285000,21780
5,3,559900,9583
4,3,575000,3049
3,2,179900,1196
4,3,689900,8276
3,2,219900,1290
3,2,219900,32670
3,1,135000,43560
3,2,165000,248292
3,2,175000,14810.4
4,3,299000,2968
4,2,239500,45738
2,1,83500,12632.4
3,2,469900,145490.4
